"","g0","g1","g2","g3","g4","g5","g6"
"Lgr6",0.00063818834620291,0.000790941315916414,5.47439245630471e-05,0.000359036381488406,0,0,0.0019027015507969
"Ptprv",0.0173254330943523,0.0187358979029485,0.016434729456983,0.0133457208901845,0.0117202927502207,0.0161893250414393,0.0202833625008316
"Gm10535",0.000141714517905564,0.000471259651612322,0.000117500197876255,8.39455503305327e-05,0.000147062500091914,0,0
"Gm57130",9.08244991763669e-05,0.00055285210128031,0.000398215037470634,0.000354715654271424,0.000208073891200243,0.000402501190699147,0
"Ptpn7",0.939671705520989,0.856337469329972,0.82387557431763,0.838288879260403,0.840268690910111,0.787563054910054,0.586898253534126
"Arl8a",0.258035983559087,0.27149158217109,0.189911712144926,0.194757579867293,0.238034552814144,0.245986310907027,0.249814434243717
"Gm15445",0.00234110344519441,0.00303687488177551,0.00183266299030671,0.00169301859462672,0.00203319825109103,0.000357366734639011,0.00539584062628252
"Gm26642",0.000347089148827917,0.000423274046097806,0.000139465829688042,0.00038112763511439,0.000420493980849926,0,0
"Rnpep",0.364616968869731,0.466540943082267,0.446153397398327,0.453898351019671,0.308890685006503,0.346837273713739,0.346899834399313
"Timm17a",1.68832065369466,1.66671300979845,1.79087531226212,1.87999299984815,1.61911512631976,1.58609038814831,0.755035564224105
"Shisa4",0.00110460916367048,0.000143094339479422,0.000438007405517076,0.000197405315106811,0.000261037650765558,0,0
"Ipo9",0.372582507915265,0.268683777781887,0.503891490145088,0.414528223326597,0.413045714968316,0.288709534270415,0.311981589894385
"Gm28277",0.000656082868002617,0.000530423165196468,0.000690490286219249,0.000893886423330469,0.00112236361123115,0,0
"Nav1",0.011632131336964,0.0197990637319451,0.0112214380837866,0.0133468044602749,0.00603760934378057,0.0091871097250876,0.0168512327473333
"Gm4793",0.000136321494267285,0.000264713884127728,7.59570897132225e-05,0.000193569722752099,0,0,0
"Gm57161",0.000321367492078884,0.000104120072934029,0.000829574187677302,0.00010951618193034,0.00038151916606605,0.000590205539078984,0
"Csrp1",0.296544695873251,0.162184792810641,0.310568354250396,0.19693632867117,0.299091892664064,0.161704044929739,0.233252612432703
"Phlda3",0.511142378790727,0.455479361611575,0.413664877250316,0.312546133035696,0.266855858303403,0.248327905686483,0.404787831060615
"Tnni1",0.00364005204853498,0.00187715070936456,0.000882866200456704,0.000635778186368651,0.000262857338122594,0.00558926962437117,0.00943859251708385
"Lad1",0.00410862823552817,0.00589307932288838,0.00488993150256426,0.00281162103737141,0.0053291929985003,0.00474825677108597,0.00707818349858047
"Tnnt2",0.000117386673284413,0.000101439326227457,0,0.000478382353083986,0,0,0
"Pkp1",0,6.62953912610794e-05,0,0.00119443686436434,0,0,0
"Tmem9",0.0629695995432128,0.0730078016496115,0.0756325389708836,0.0665432978647174,0.0576041406120736,0.0560426964655179,0.110315070891438
