"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Tspan31",1617.14980390921,-0.298228757721935,0.188820132726238,0.000384693127085512,0.0293554419796126
"Ccr7",1486.12816538238,0.309210638525102,0.201118249009492,0.000391044703954755,0.0296411885597704
"Gprin3",4054.77348904284,-0.238505864080684,0.129295268128821,0.000402474687304691,0.0299780637928031
"Diaph3",3788.2534177245,0.238423316231896,0.129288459469118,0.000403398747607641,0.0299780637928031
"Hbegf",631.212416716292,-0.379061639920256,0.286173793371255,0.000402258549762162,0.0299780637928031
"1700097N02Rik",282.917732370531,0.427368010168266,0.369194540255932,0.000410524610967411,0.0303095118616848
"Bhlhe40",729.101153978274,-0.346615730293212,0.24843910364844,0.000420027442294549,0.030811045283155
"Pdlim1",1182.25059614964,0.314403533715471,0.214971575120459,0.000442560431141621,0.0322558468082066
"Prnp",854.133984678487,-0.317928440224704,0.220429544178167,0.000451215782169731,0.0326772193838844
"Gm15473",88.8177327046446,-0.489802861008943,0.593637871389656,0.000462024235038925,0.0332481996986872
"Tmem163",349.793383817486,-0.389158530577539,0.333962771427437,0.000489369220574931,0.034775800237106
"Golgb1",2422.90577441194,-0.249269374070094,0.148462236192461,0.000487873507885829,0.034775800237106
"Myo1g",2855.32897618215,0.242060409740475,0.141323594464921,0.00049864537815977,0.0352148940973701
"Zswim6",1638.29933294698,-0.278290007332015,0.184060091073499,0.000516332337633587,0.0360165563122324
"B630019A10Rik",426.248466017108,0.363253430614066,0.296375974935472,0.000514068752630101,0.0360165563122324
"Fhl2",153.63555636474,-0.442414933750039,0.490228272383703,0.00052960525915287,0.0365452449499645
"Mcl1",5785.16679011985,-0.246761729826086,0.149358033818334,0.000530339966292361,0.0365452449499645
"Gimap5",2930.83996066266,-0.257788377077946,0.163374579201104,0.000544610011715613,0.0370791367257875
"Prelid2",11503.6008847762,-0.208878108565507,0.106760840540445,0.000541850857019842,0.0370791367257875
"Hspa5",31561.4026414222,-0.215196873965512,0.114423476429067,0.000550570229005752,0.0371396675554966
"Ptms",1346.94716777099,0.271059357554338,0.179693479287921,0.000552864290216156,0.0371396675554966
"Bcl11b",13355.93964725,0.208666926789804,0.107275424195681,0.000555298459492913,0.0371396675554966
"A930005H10Rik",1094.51273725028,0.28652125469767,0.200124932359781,0.000569656054890764,0.0378771306672982
"Dynlt1f",528.236524012767,-0.347859596344911,0.28908502396356,0.000580900407014856,0.0384002187660402
"Samsn1",2695.40704678474,-0.234333454139532,0.139626933026851,0.00059091963796543,0.0388367415240863
"A630023P12Rik",444.141788859133,0.336230203929541,0.275265922742181,0.000604883118400903,0.0395259830817142
"Prkch",4412.65157247615,0.217397329265691,0.121482615836234,0.000624078814321498,0.0405472921076311
"Mms22l",2613.50597236562,0.233349377898139,0.143019636933799,0.000653792546519494,0.0420558178674904
"Arhgap25",1695.63014565722,0.258462860789679,0.175120285038174,0.000662092471264801,0.0420558178674904
"Tespa1",3246.35843475315,-0.22031626487178,0.126975314960276,0.000655454765662883,0.0420558178674904
"Efna5",422.510478716111,-0.379045895484275,0.389282631386626,0.000659406442289445,0.0420558178674904
"Stk10",2665.61667337745,0.233783338655397,0.144441783096353,0.000666041776121114,0.042071638858317
"Cyb5a",6468.33086605844,-0.220523152226387,0.128987046536744,0.000683715703554837,0.0429494339746878
"Zc3h6",1218.10145794051,0.265553913262611,0.187208828973388,0.000693350264121659,0.0432235030423925
"Bin2",3338.42114604476,0.217864150644765,0.126370594707728,0.000695681711236396,0.0432235030423925
"Trafd1",1180.67305700458,-0.260231165525029,0.183529828694473,0.000728242110930465,0.0449080816480062
"Smad7",988.898346503792,0.288818639111683,0.223444544136275,0.00073069438037653,0.0449080816480062
"Klhdc1",662.859543433428,0.290793812084402,0.229898936184075,0.000756923840313661,0.0462700218514319
"Gnaq",1954.16879567426,-0.233490204558222,0.152074906100097,0.000779236982754929,0.0473792753685751
"Emp1",297.46475501769,0.348319348964909,0.360543962126385,0.000790060650201121,0.0475290454644801
"Trim30a",7776.952767371,-0.201608064217392,0.110677500022414,0.000789417192473033,0.0475290454644801
"Tes",6802.26207356906,-0.201513729830915,0.111010847730745,0.000799171730907625,0.0478241188443142
"Ccm2",3466.93965174256,0.218300826374181,0.134112558514627,0.000817282928708195,0.0486518685833098
"Sgk1",269.381430054391,-0.343440141350304,0.36401469617313,0.000833225846212452,0.0490869319763502
