"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13"
"Id2",3.1857,4.8405,11.0943,2.8983,12.2925,3.783,6.5987,3.6645,8.1411,7.7554,3.33,5.299,2.2637,9.292
"Gzma",0.0352,0.0511,17.8442,0.0428,26.2468,0.0457,0.1009,0.0384,1.063,0.0556,0.0877,0.1018,0.4008,14.9185
"Gzmk",1e-04,1e-04,0.0215,4e-04,0.0244,9e-04,2e-04,2e-04,6e-04,0.0301,4e-04,0.0038,0,0.0174
"Gzmb",2.4406,3.5481,67.2292,3.3344,83.993,3.0567,3.5235,2.9618,3.4816,4.1076,3.5821,2.4953,13.5361,83.8224
"Il7r",1.1407,1.5156,0.3612,1.3913,0.9363,2.804,1.5874,1.0407,0.1909,4.0122,1.9959,0.8317,1.5302,0.5316
"Nr4a1",0.0223,0.03,0.0222,0.0293,0.033,0.0408,0.3923,0.0319,0.0148,0.0339,0.0562,0.6204,0.0884,0.0155
"Bcl6",0.0342,0.0241,0.0145,0.049,0.0286,0.0856,0.0667,0.0203,0.0024,0.0353,0.0589,0.4183,0.0404,0.0139
"Tigit",4e-04,4e-04,0.0075,4e-04,0.0192,0.0017,0.0037,3e-04,0.0022,0.0171,0,0.0011,0,0.0035
"Tnf",0.4833,0.5352,0.434,0.4679,0.509,0.5504,0.8205,0.3255,0.0542,0.5769,0.4408,4.3533,0.7729,0.5406
"Cd14",1e-04,1e-04,7e-04,1e-04,0.0018,0,2e-04,1e-04,4e-04,0.0012,0,0.0028,0,5e-04
"Entpd1",0.2409,0.3269,0.5238,0.3847,1.0128,0.6805,0.2875,0.3084,0.0503,0.5258,0.3147,0.1468,0.7905,0.6337
"Foxp3",0.0033,0.0048,0.0022,0.0054,0.0024,0.0143,0.0059,0.0043,0.0017,0.5704,0.0054,0,0.0418,0.0031
"Rorc",0,0,0,0,0,5e-04,3e-04,1e-04,0,0.0115,0,0,0,0.001
