miRNA,gene,gene_type,region,state,rep,coverage
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.03242453864326
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29a-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,14.7726866948401
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
mmu-miR-29b-3p,CT010467.1,rRNA,ncRNA_exon,Tn,1,4.52535960526425
