state,miRNA,gene,n_clusters,coverage,regions
Tn,mmu-miR-466i-5p,Fam53c,1,8.9285276207794,3' UTR
Tn,mmu-miR-26a-5p,Etf1,1,14.1262626262626,3' UTR
Tn,mmu-miR-466i-5p,Matr3,1,5.83950617283951,intron
Tn,mmu-miR-466i-5p,Cxxc5,1,3.43273460410557,intron
Tn,mmu-miR-466i-5p,Gramd3,1,4.33201700538371,intron
Tn,mmu-miR-15b-5p,Gramd3,1,4.97821765427399,3' UTR
Tn,mmu-miR-16-5p,Adrb2,1,12,3' UTR
Tn,mmu-miR-466i-5p,Ldlrad4,2,24.7588537370966,intron
Tn,mmu-miR-466i-5p,Mbd2,2,15.3049228479998,intron
Tn,mmu-miR-15b-5p,Rpl17,1,8.98496155585708,ncRNA_exon
Tn,mmu-miR-219a-5p,Rpl17,1,40.9920634920635,ncRNA_exon
Tn,mmu-miR-29a-3p,Rpl17,1,9.61401377553427,ncRNA_exon
Tn,mmu-miR-466i-5p,Smad7,1,3.24390243902439,intron
Tn,mmu-miR-466i-5p,Nfatc1,2,12.3008850743223,intron
Tn,mmu-miR-466i-5p,Mbp,9,104.371342548459,intron
Tn,mmu-let-7f-5p,Cd226,1,5.5,CDS
Tn,mmu-miR-142a-3p,Cd226,1,5.14470284237726,CDS
Tn,mmu-miR-466i-5p,Cd226,2,11.4916763254483,intron
Tn,mmu-miR-466i-5p,Cd6,2,14.4975656417767,intron
Tn,mmu-miR-466i-5p,Ms4a4c,1,7.11590241456714,3' UTR
Tn,mmu-miR-142a-3p,Ms4a4b,2,29.062116849696,3' UTR
Tn,mmu-miR-20a-5p,Ms4a4b,1,4.5,3' UTR
Tn,mmu-miR-466i-5p,Dock8,2,8.66744313510551,intron
Tn,mmu-miR-466i-5p,Sgms1,1,6.14959676609275,3' UTR
Tn,mmu-miR-26a-5p,Tnks2,1,5.6599553262184,3' UTR
Tn,mmu-miR-466i-5p,Wbp1l,2,13.6246753246753,"3' UTR,intron"
Tn,mmu-miR-466i-5p,Sh3pxd2a,1,3.55913817195463,intron
Tn,mmu-miR-466f-3p,Pdcd4,3,20.8829605700021,intron
Tn,mmu-miR-466i-5p,Pdcd4,1,4.85714285714286,intron
Tn,mmu-miR-466i-5p,Ablim1,2,16.3207525872561,intron
Tn,mmu-miR-466i-5p,Fam107b,8,69.7556441829491,intron
