state,gene,n_miRNAs,total_clusters,total_cov
Tn,Iqgap1,1,1,10.2091401252758
Tn,Dgka,1,2,10.1255693604364
Tn,Klrd1,1,1,10.0920901804284
Tn,Laptm5,1,1,9.95402298850574
Tn,Ccnt1,1,1,9.93983361552408
Tn,Elmsan1,1,1,9.85402351504046
Tn,Tagap,1,1,9.76957131572703
Tn,Tnrc6c,1,1,9.76864147088866
Tn,Znrf3,1,2,9.76426434676435
Tn,B4galt1,1,2,9.7019007696879
Tn,Nfatc2,1,1,9.5568559126358
Tn,Rock2,1,1,9.54400692608089
Tn,Ascc3,1,1,9.50740559376582
Tn,Ppm1b,1,2,9.47700426400956
Tn,Stk10,1,1,9.37867604075969
Tn,Ikzf3,1,1,9.34912495850524
Tn,Crim1,1,2,9.27655554880697
Tn,Ppp3ca,1,1,9.19433498778434
Tn,Klf13,1,2,9.02877060283075
Tn,Cmah,1,2,9.02002853992474
Tn,Rere,1,1,9.01360544217687
Tn,Cracr2a,1,1,8.96102491258741
Tn,Fam53c,1,1,8.9285276207794
Tn,Rnasel,1,1,8.88888123811397
Tn,Usp9x,1,1,8.83486590038314
Tn,Nab1,1,1,8.79327050344195
Tn,Sik2,1,1,8.74805844392593
Tn,Gm45837,1,1,8.74229326316049
Tn,Slc44a2,1,2,8.71377682130513
Tn,Dock8,1,2,8.66744313510551
Tn,Cyfip2,1,2,8.66504498698086
Tn,Hdac7,1,2,8.58289721867008
Tn,Rhebl1,1,1,8.5
Tn,Sun2,1,1,8.45658779802048
Tn,Capzb,1,1,8.40687226809131
Tn,Btg1,1,1,8.40331691297209
Tn,H2-D1,1,1,8.31168975713267
Tn,Zfp831,1,1,8.22020607606262
Tn,D16Ertd472e,1,1,8.17782910360375
Tn,Zzef1,1,1,8.11655689009428
Tn,Itgb3,1,1,8.11541935660801
Tn,Bckdhb,1,1,8.07280024739108
Tn,Dyrk1a,1,1,8.06855362626978
Tn,Ncoa1,1,1,7.85169349429913
Tn,Creb1,1,1,7.80323109433705
Tn,Arl4c,1,1,7.76373680957217
Tn,Tm9sf2,1,1,7.71512405589359
Tn,Cry2,1,1,7.70611404191993
Tn,Stim1,1,1,7.65589970666607
Tn,Stk4,1,1,7.5838324881845
Tn,Nrd1,1,1,7.4403452133662
Tn,Bin2,1,1,7.42857142857143
Tn,Fyb,1,1,7.38676808208793
Tn,Cds2,1,1,7.33468732136243
Tn,Nras,1,1,7.27224362276208
Tn,Tlk2,1,1,7.23057813911473
Tn,Zfyve16,1,1,7.12426534428638
Tn,Ms4a4c,1,1,7.11590241456714
Tn,Mmp16,1,1,7.03329483045536
Tn,Hnrnpk,1,1,7
Tn,Ptpn22,1,2,6.99333333333333
Tn,Atxn1,1,1,6.97597254004577
Tn,Tcf7,1,1,6.91960585914224
Tn,Wasl,1,1,6.9099923027361
Tn,Cdyl2,1,1,6.86985889378022
Tn,Arid1b,1,1,6.85854175423847
Tn,Rnf38,1,1,6.81318681318681
Tn,Psd4,1,1,6.7787566839291
Tn,Arhgef1,1,1,6.76622036023712
Tn,Pik3r5,1,1,6.76273468587873
Tn,Wdr1,1,1,6.70716284281783
Tn,Dnajb1,1,1,6.59285086893783
Tn,Agap2,1,1,6.41986687147977
Tn,Stat5b,1,1,6.41791044776119
Tn,Coro7,1,1,6.40805623318725
Tn,Septin9,1,1,6.40182457020935
Tn,Ski,1,1,6.37380381838482
Tn,Arid1a,1,1,6.37023317947087
Tn,Satb1,1,1,6.32045020906914
Tn,Serinc3,1,1,6.31942545997492
Tn,Enpp4,1,1,6.29462064676617
Tn,Ddx42,1,1,6.27994957601699
Tn,Sh3kbp1,1,1,6.27400812404081
Tn,Sgms1,1,1,6.14959676609275
Tn,Kcnn4,1,1,6.14000521143538
Tn,Znrf1,1,1,6.12134406437096
Tn,Dip2b,1,1,6.05289250825878
Tn,Lasp1,1,1,5.98401826484018
Tn,Tnrc6a,1,1,5.97665773602865
Tn,Msn,1,1,5.92999571183534
Tn,Ankrd17,1,1,5.92376339744071
Tn,Matr3,1,1,5.83950617283951
Tn,Pip4k2a,1,1,5.83149210903874
Tn,Il16,1,1,5.82089552238806
Tn,Lcp1,1,1,5.75508374475766
Tn,Arl5b,1,1,5.72933112638995
Tn,Zbed4,1,1,5.71304203499582
Tn,Tnks2,1,1,5.6599553262184
Tn,Itpr2,1,1,5.64855794790005
Tn,Mgst2,1,1,5.56851786657279
Tn,Pik3r1,1,1,5.48958333333333
Tn,Gramd1a,1,1,5.47093193031235
Tn,Bloc1s6,1,1,5.42527070306543
Tn,Tmeff1,1,1,5.41576476402273
Tn,Ly6e,1,1,5.39931885908897
Tn,Herc3,1,1,5.3807540521494
Tn,Slc9a9,1,1,5.36542909368996
Tn,Il6st,1,1,5.34347225232645
Tn,Zfp827,1,1,5.28621993390117
Tn,Nxn,1,1,5.19816239552776
Tn,Ralgapa2,1,1,5.08827997729857
