"human","mouse","support_n","method","set_name","in_object"
"GZMB","Gzmb",8,"babelgene","Combined_NR",TRUE
"GZMH","Gzmc",4,"babelgene","Combined_NR",TRUE
"GZMK","Gzmk",12,"babelgene","Combined_NR",TRUE
"GZMM","Gzmm",12,"babelgene","Combined_NR",TRUE
"HACD4","Hacd4",11,"babelgene","Combined_NR",TRUE
"HADHA","Hadha",12,"babelgene","Combined_NR",TRUE
"HAVCR2","Havcr2",12,"babelgene","Combined_NR",TRUE
"HBS1L","Hbs1l",12,"babelgene","Combined_NR",TRUE
"HDAC3","Hdac3",12,"babelgene","Combined_NR",TRUE
"HDAC7","Hdac7",11,"babelgene","Combined_NR",TRUE
"HDAC9","Hdac9",8,"babelgene","Combined_NR",TRUE
"HECTD2","Hectd2",11,"babelgene","Combined_NR",TRUE
"HEG1","Heg1",11,"babelgene","Combined_NR",TRUE
"HERC1","Herc1",11,"babelgene","Combined_NR",TRUE
"HERC2","Herc2",11,"babelgene","Combined_NR",TRUE
"HERPUD1","Herpud1",11,"babelgene","Combined_NR",TRUE
"HEXIM1","Hexim1",12,"babelgene","Combined_NR",TRUE
"HEYL","Heyl",12,"babelgene","Combined_NR",FALSE
"HIF1A","Hif1a",12,"babelgene","Combined_NR",TRUE
"HIGD2A","Higd2a",11,"babelgene","Combined_NR",TRUE
"HILPDA","Hilpda",10,"babelgene","Combined_NR",TRUE
"HIVEP1","Hivep1",12,"babelgene","Combined_NR",TRUE
"HLA-A","H2-Q10",5,"babelgene","Combined_NR",TRUE
"HLA-B","Gm8909",3,"babelgene","Combined_NR",TRUE
"HLA-C","H2-Q10",4,"babelgene","Combined_NR",TRUE
"HLA-DMA","H2-DMa",12,"babelgene","Combined_NR",TRUE
"HLA-DQA1","H2-Aa",9,"babelgene","Combined_NR",TRUE
"HLA-DQA2","H2-Aa",6,"babelgene","Combined_NR",TRUE
"HLA-DQB1","H2-Ab1",8,"babelgene","Combined_NR",TRUE
"HLA-DRA","H2-Ea",6,"babelgene","Combined_NR",TRUE
"HLA-DRB1","H2-Eb1",5,"babelgene","Combined_NR",TRUE
"HLA-DRB5","H2-Eb1",6,"babelgene","Combined_NR",TRUE
"HLA-F","H2-M3",4,"babelgene","Combined_NR",TRUE
"HM13","H13",12,"babelgene","Combined_NR",TRUE
"HMGA1","Hmga1",10,"babelgene","Combined_NR",TRUE
"HMGB2","Hmgb2",11,"babelgene","Combined_NR",TRUE
"HMGCR","Hmgcr",11,"babelgene","Combined_NR",TRUE
"HMGCS1","Hmgcs1",12,"babelgene","Combined_NR",TRUE
"HMGN1","Hmgn1",9,"babelgene","Combined_NR",TRUE
"HMGN2","Hmgn2",6,"babelgene","Combined_NR",TRUE
"HMGN3","Hmgn3",9,"babelgene","Combined_NR",TRUE
"HMOX2","Hmox2",12,"babelgene","Combined_NR",TRUE
"HNF1B","Hnf1b",11,"babelgene","Combined_NR",TRUE
"HNRNPA0","Hnrnpa0",12,"babelgene","Combined_NR",TRUE
"HNRNPC","Hnrnpc",10,"babelgene","Combined_NR",TRUE
"HNRNPDL","Hnrnpdl",11,"babelgene","Combined_NR",TRUE
"HNRNPH1","Hnrnph1",10,"babelgene","Combined_NR",TRUE
"HNRNPH3","Hnrnph3",12,"babelgene","Combined_NR",TRUE
"HNRNPM","Hnrnpm",11,"babelgene","Combined_NR",TRUE
"HNRNPUL1","Hnrnpul1",12,"babelgene","Combined_NR",TRUE
"HOPX","Hopx",9,"babelgene","Combined_NR",TRUE
"HOXA4","Hoxa4",12,"babelgene","Combined_NR",TRUE
"HPS3","Hps3",11,"babelgene","Combined_NR",TRUE
"HSBP1","Hsbp1",12,"babelgene","Combined_NR",TRUE
"HSD11B1","Hsd11b1",12,"babelgene","Combined_NR",TRUE
"HSD17B11","Hsd17b11",12,"babelgene","Combined_NR",TRUE
"HSD17B12","Hsd17b12",12,"babelgene","Combined_NR",TRUE
"HSD3B7","Hsd3b7",11,"babelgene","Combined_NR",TRUE
"HSP90AA1","Hsp90aa1",11,"babelgene","Combined_NR",TRUE
"HSP90AB1","Hsp90ab1",11,"babelgene","Combined_NR",TRUE
"HSPA1A","Hspa1a",9,"babelgene","Combined_NR",TRUE
"HSPA1B","Hspa1a",7,"babelgene","Combined_NR",TRUE
"HSPA5","Hspa5",12,"babelgene","Combined_NR",TRUE
"HSPB1","Hspb1",12,"babelgene","Combined_NR",TRUE
"HSPB11","Hspb11",12,"babelgene","Combined_NR",TRUE
"HSPD1","Hspd1",11,"babelgene","Combined_NR",TRUE
"HSPE1","Hspe1",11,"babelgene","Combined_NR",TRUE
"HSPH1","Hsph1",12,"babelgene","Combined_NR",TRUE
"HTATIP2","Htatip2",11,"babelgene","Combined_NR",TRUE
"ICAM1","Icam1",11,"babelgene","Combined_NR",TRUE
"ICAM5","Icam5",10,"babelgene","Combined_NR",TRUE
"ID2","Id2",11,"babelgene","Combined_NR",TRUE
"IDH2","Idh2",12,"babelgene","Combined_NR",TRUE
"IDI1","Idi1",11,"babelgene","Combined_NR",TRUE
"IDS","Ids",10,"babelgene","Combined_NR",TRUE
"IER2","Ier2",11,"babelgene","Combined_NR",TRUE
"IER3","Ier3",12,"babelgene","Combined_NR",TRUE
"IER3IP1","Ier3ip1",10,"babelgene","Combined_NR",TRUE
"IFI16","Ifi205",6,"babelgene","Combined_NR",FALSE
"IFI27L2","Ifi27l2a",5,"babelgene","Combined_NR",TRUE
"IFI35","Ifi35",12,"babelgene","Combined_NR",TRUE
"IFI44","Ifi44",10,"babelgene","Combined_NR",TRUE
"IFI44L","Ifi44l",9,"babelgene","Combined_NR",TRUE
"IFIH1","Ifih1",10,"babelgene","Combined_NR",TRUE
"IFITM2","Ifitm2",7,"babelgene","Combined_NR",TRUE
"IFITM3","Ifitm3",8,"babelgene","Combined_NR",TRUE
"IFNG","Ifng",12,"babelgene","Combined_NR",TRUE
"IFNGR1","Ifngr1",11,"babelgene","Combined_NR",TRUE
"IFRD1","Ifrd1",11,"babelgene","Combined_NR",TRUE
"IFT122","Ift122",11,"babelgene","Combined_NR",TRUE
"IGF2R","Igf2r",12,"babelgene","Combined_NR",TRUE
"IGFLR1","Igflr1",12,"babelgene","Combined_NR",TRUE
"IGSF3","Igsf3",12,"babelgene","Combined_NR",TRUE
"IKBIP","Ikbip",10,"babelgene","Combined_NR",TRUE
"IKZF1","Ikzf1",11,"babelgene","Combined_NR",TRUE
"IKZF2","Ikzf2",11,"babelgene","Combined_NR",TRUE
"IKZF3","Ikzf3",11,"babelgene","Combined_NR",TRUE
"IL10RA","Il10ra",12,"babelgene","Combined_NR",TRUE
"IL13","Il13",11,"babelgene","Combined_NR",TRUE
"IL16","Il16",11,"babelgene","Combined_NR",TRUE
"IL18R1","Il18r1",12,"babelgene","Combined_NR",TRUE
"IL1A","Il1a",12,"babelgene","Combined_NR",TRUE
"IL1RAP","Il1rap",12,"babelgene","Combined_NR",TRUE
"IL1RN","Il1rn",12,"babelgene","Combined_NR",TRUE
"IL21R","Il21r",12,"babelgene","Combined_NR",TRUE
"IL2RA","Il2ra",12,"babelgene","Combined_NR",TRUE
"IL2RB","Il2rb",12,"babelgene","Combined_NR",TRUE
"IL2RG","Il2rg",11,"babelgene","Combined_NR",TRUE
"IL6ST","Il6st",11,"babelgene","Combined_NR",TRUE
"IL7R","Il7r",11,"babelgene","Combined_NR",TRUE
"INPP4A","Inpp4a",10,"babelgene","Combined_NR",TRUE
"INPP5D","Inpp5d",12,"babelgene","Combined_NR",TRUE
"INPP5F","Inpp5f",10,"babelgene","Combined_NR",TRUE
"INSIG1","Insig1",12,"babelgene","Combined_NR",TRUE
"IPO5","Ipo5",12,"babelgene","Combined_NR",TRUE
"IPPK","Ippk",12,"babelgene","Combined_NR",TRUE
"IQCG","Iqcg",11,"babelgene","Combined_NR",TRUE
"IQGAP1","Iqgap1",11,"babelgene","Combined_NR",TRUE
"IQGAP2","Iqgap2",12,"babelgene","Combined_NR",TRUE
"IQGAP3","Iqgap3",11,"babelgene","Combined_NR",TRUE
"IRAK2","Irak2",12,"babelgene","Combined_NR",TRUE
"IRAK3","Irak3",12,"babelgene","Combined_NR",TRUE
"IRF1","Irf1",11,"babelgene","Combined_NR",TRUE
"IRF2","Irf2",12,"babelgene","Combined_NR",TRUE
"IRF2BP2","Irf2bp2",11,"babelgene","Combined_NR",TRUE
"IRF2BPL","Irf2bpl",11,"babelgene","Combined_NR",TRUE
"IRF3","Irf3",11,"babelgene","Combined_NR",TRUE
"IRF7","Irf7",12,"babelgene","Combined_NR",TRUE
"IRF8","Irf8",12,"babelgene","Combined_NR",TRUE
"ISCA1","Isca1",10,"babelgene","Combined_NR",TRUE
"ISCU","Iscu",11,"babelgene","Combined_NR",TRUE
"ISG15","Isg15",10,"babelgene","Combined_NR",TRUE
"ISG20","Isg20",12,"babelgene","Combined_NR",TRUE
"ISG20L2","Isg20l2",12,"babelgene","Combined_NR",TRUE
"ITGA1","Itga1",11,"babelgene","Combined_NR",TRUE
"ITGA4","Itga4",12,"babelgene","Combined_NR",TRUE
"ITGAE","Itgae",11,"babelgene","Combined_NR",TRUE
"ITGAL","Itgal",11,"babelgene","Combined_NR",TRUE
"ITGAX","Itgax",12,"babelgene","Combined_NR",TRUE
"ITGB1","Itgb1",12,"babelgene","Combined_NR",TRUE
"ITGB1BP1","Itgb1bp1",12,"babelgene","Combined_NR",TRUE
"ITGB2","Itgb2",11,"babelgene","Combined_NR",TRUE
"ITGB7","Itgb7",12,"babelgene","Combined_NR",TRUE
"ITK","Itk",12,"babelgene","Combined_NR",TRUE
"ITM2C","Itm2c",12,"babelgene","Combined_NR",TRUE
"ITPKA","Itpka",12,"babelgene","Combined_NR",TRUE
"JAM2","Jam2",12,"babelgene","Combined_NR",TRUE
"JAML","Jaml",10,"babelgene","Combined_NR",TRUE
"JMJD1C","Jmjd1c",11,"babelgene","Combined_NR",TRUE
"JMJD6","Jmjd6",12,"babelgene","Combined_NR",TRUE
"JOSD1","Josd1",11,"babelgene","Combined_NR",TRUE
"JTB","Jtb",12,"babelgene","Combined_NR",TRUE
"JUN","Jun",12,"babelgene","Combined_NR",TRUE
"JUNB","Junb",11,"babelgene","Combined_NR",TRUE
"JUND","Jund",12,"babelgene","Combined_NR",TRUE
"KCNA3","Kcna3",12,"babelgene","Combined_NR",TRUE
"KCNAB2","Kcnab2",12,"babelgene","Combined_NR",TRUE
"KCNH4","Kcnh4",11,"babelgene","Combined_NR",TRUE
"KCNK1","Kcnk1",11,"babelgene","Combined_NR",FALSE
"KCTD10","Kctd10",12,"babelgene","Combined_NR",TRUE
"KCTD19","Kctd19",12,"babelgene","Combined_NR",TRUE
"KCTD3","Kctd3",12,"babelgene","Combined_NR",TRUE
"KCTD5","Kctd5",11,"babelgene","Combined_NR",TRUE
"KDELR3","Kdelr3",11,"babelgene","Combined_NR",TRUE
"KDM2A","Kdm2a",12,"babelgene","Combined_NR",TRUE
"KDM6B","Kdm6b",12,"babelgene","Combined_NR",TRUE
"KDSR","Kdsr",10,"babelgene","Combined_NR",TRUE
"KIAA1549","D630045J12Rik",12,"babelgene","Combined_NR",TRUE
"KIF23","Kif23",11,"babelgene","Combined_NR",TRUE
"KIF3B","Kif3b",11,"babelgene","Combined_NR",TRUE
"KIF3C","Kif3c",11,"babelgene","Combined_NR",TRUE
"KIT","Kit",11,"babelgene","Combined_NR",TRUE
"KLF10","Klf10",11,"babelgene","Combined_NR",TRUE
"KLF2","Klf2",11,"babelgene","Combined_NR",TRUE
"KLF3","Klf3",12,"babelgene","Combined_NR",TRUE
"KLF4","Klf4",12,"babelgene","Combined_NR",TRUE
"KLF6","Klf6",12,"babelgene","Combined_NR",TRUE
"KLF9","Klf9",12,"babelgene","Combined_NR",TRUE
"KLRB1","Klrb1a",9,"babelgene","Combined_NR",TRUE
"KLRD1","Klrd1",9,"babelgene","Combined_NR",TRUE
"KLRG1","Klrg1",12,"babelgene","Combined_NR",TRUE
"KLRK1","Klrk1",10,"babelgene","Combined_NR",TRUE
"KMT2C","Kmt2c",12,"babelgene","Combined_NR",TRUE
"KMT2E","Kmt2e",11,"babelgene","Combined_NR",TRUE
"KPNA2","Kpna2",11,"babelgene","Combined_NR",TRUE
"KPNB1","Kpnb1",11,"babelgene","Combined_NR",TRUE
"KRT10","Krt10",10,"babelgene","Combined_NR",TRUE
"KRT80","Krt80",12,"babelgene","Combined_NR",TRUE
"KTN1","Ktn1",11,"babelgene","Combined_NR",TRUE
"LACTB","Lactb",12,"babelgene","Combined_NR",TRUE
"LAG3","Lag3",12,"babelgene","Combined_NR",TRUE
"LAMB3","Lamb3",10,"babelgene","Combined_NR",TRUE
"LAMP1","Lamp1",11,"babelgene","Combined_NR",TRUE
"LAMP3","Lamp3",11,"babelgene","Combined_NR",TRUE
"LAMTOR4","Lamtor4",11,"babelgene","Combined_NR",TRUE
"LAMTOR5","Lamtor5",12,"babelgene","Combined_NR",TRUE
"LAPTM5","Laptm5",11,"babelgene","Combined_NR",TRUE
"LASP1","Lasp1",12,"babelgene","Combined_NR",TRUE
"LAT","Lat",12,"babelgene","Combined_NR",TRUE
"LCK","Lck",12,"babelgene","Combined_NR",TRUE
"LCP1","Lcp1",12,"babelgene","Combined_NR",TRUE
"LCP2","Lcp2",12,"babelgene","Combined_NR",TRUE
"LDHA","Ldha",12,"babelgene","Combined_NR",TRUE
"LDHB","Ldhb",11,"babelgene","Combined_NR",TRUE
"LDLRAD4","Ldlrad4",11,"babelgene","Combined_NR",TRUE
"LEF1","Lef1",12,"babelgene","Combined_NR",TRUE
"LENG8","Leng8",11,"babelgene","Combined_NR",TRUE
"LEPR","Lepr",12,"babelgene","Combined_NR",TRUE
"LEPROTL1","Leprotl1",11,"babelgene","Combined_NR",TRUE
"LGALS1","Lgals1",12,"babelgene","Combined_NR",TRUE
"LGALS3","Lgals3",11,"babelgene","Combined_NR",TRUE
"LIF","Lif",12,"babelgene","Combined_NR",TRUE
"LIFR","Lifr",12,"babelgene","Combined_NR",TRUE
"LIG1","Lig1",12,"babelgene","Combined_NR",TRUE
"LILRB1","Pirb",6,"babelgene","Combined_NR",TRUE
"LIMA1","Lima1",10,"babelgene","Combined_NR",TRUE
"LIMD2","Limd2",10,"babelgene","Combined_NR",TRUE
"LIME1","Lime1",10,"babelgene","Combined_NR",TRUE
"LIN52","Lin52",11,"babelgene","Combined_NR",TRUE
"LIN7A","Lin7a",12,"babelgene","Combined_NR",FALSE
"LITAF","Litaf",12,"babelgene","Combined_NR",TRUE
"LMCD1","Lmcd1",12,"babelgene","Combined_NR",FALSE
"LMNA","Lmna",12,"babelgene","Combined_NR",TRUE
"LNPEP","Lnpep",12,"babelgene","Combined_NR",TRUE
"LPXN","Lpxn",12,"babelgene","Combined_NR",TRUE
"LRBA","Lrba",12,"babelgene","Combined_NR",TRUE
"LRP11","Lrp11",12,"babelgene","Combined_NR",TRUE
"LRRC40","Lrrc40",12,"babelgene","Combined_NR",TRUE
"LRRFIP1","Lrrfip1",12,"babelgene","Combined_NR",TRUE
"LRRFIP2","Lrrfip2",10,"babelgene","Combined_NR",TRUE
"LRRN3","Lrrn3",11,"babelgene","Combined_NR",TRUE
"LSM2","Lsm2",12,"babelgene","Combined_NR",TRUE
"LSM3","Lsm3",12,"babelgene","Combined_NR",TRUE
"LSM5","Lsm5",12,"babelgene","Combined_NR",TRUE
"LSM7","Lsm7",11,"babelgene","Combined_NR",TRUE
"LSP1","Lsp1",12,"babelgene","Combined_NR",TRUE
"LSS","Lss",12,"babelgene","Combined_NR",TRUE
"LTA","Lta",11,"babelgene","Combined_NR",TRUE
"LTB","Ltb",12,"babelgene","Combined_NR",TRUE
"LTBR","Ltbr",12,"babelgene","Combined_NR",TRUE
"LUC7L3","Luc7l3",12,"babelgene","Combined_NR",TRUE
"LY6E","Ly6e",9,"babelgene","Combined_NR",TRUE
"LY9","Ly9",11,"babelgene","Combined_NR",TRUE
"LYAR","Lyar",12,"babelgene","Combined_NR",TRUE
"MACF1","Macf1",9,"babelgene","Combined_NR",TRUE
"MAD2L2","Mad2l2",12,"babelgene","Combined_NR",TRUE
"MAGED2","Maged2",12,"babelgene","Combined_NR",TRUE
"MAGI1","Magi1",12,"babelgene","Combined_NR",TRUE
"MAGOH","Magoh",12,"babelgene","Combined_NR",TRUE
"MAN1A2","Man1a2",12,"babelgene","Combined_NR",TRUE
"MANF","Manf",11,"babelgene","Combined_NR",TRUE
"MAP1LC3A","Map1lc3a",12,"babelgene","Combined_NR",TRUE
"MAP1LC3B","Map1lc3b",8,"babelgene","Combined_NR",TRUE
"MAP2K3","Map2k3",12,"babelgene","Combined_NR",TRUE
"MAP3K8","Map3k8",11,"babelgene","Combined_NR",TRUE
"MAP4","Map4",9,"babelgene","Combined_NR",TRUE
"MAP4K1","Map4k1",12,"babelgene","Combined_NR",TRUE
"MAP7D1","Map7d1",12,"babelgene","Combined_NR",TRUE
"MAP7D2","Map7d2",12,"babelgene","Combined_NR",TRUE
"MAPK1","Mapk1",12,"babelgene","Combined_NR",TRUE
"MAPRE1","Mapre1",12,"babelgene","Combined_NR",TRUE
"MAPRE2","Mapre2",11,"babelgene","Combined_NR",TRUE
"MARCKS","Marcks",8,"babelgene","Combined_NR",TRUE
"MARVELD1","Marveld1",12,"babelgene","Combined_NR",TRUE
"MAST1","Mast1",12,"babelgene","Combined_NR",TRUE
"MAST2","Mast2",12,"babelgene","Combined_NR",TRUE
"MAT2A","Mat2a",12,"babelgene","Combined_NR",TRUE
"MATK","Matk",12,"babelgene","Combined_NR",TRUE
"MAX","Max",12,"babelgene","Combined_NR",TRUE
"MAZ","Maz",11,"babelgene","Combined_NR",TRUE
"MBD6","Mbd6",11,"babelgene","Combined_NR",TRUE
"MBNL1","Mbnl1",11,"babelgene","Combined_NR",TRUE
"MBNL2","Mbnl2",12,"babelgene","Combined_NR",TRUE
"MCAM","Mcam",12,"babelgene","Combined_NR",TRUE
"MCL1","Mcl1",12,"babelgene","Combined_NR",TRUE
"MCM10","Mcm10",11,"babelgene","Combined_NR",TRUE
"MCM2","Mcm2",12,"babelgene","Combined_NR",TRUE
"MCM6","Mcm6",12,"babelgene","Combined_NR",TRUE
"MDFIC","Mdfic",10,"babelgene","Combined_NR",TRUE
"MDH2","Mdh2",12,"babelgene","Combined_NR",TRUE
"MDK","Mdk",12,"babelgene","Combined_NR",TRUE
"MED10","Med10",11,"babelgene","Combined_NR",TRUE
"MEIS3","Meis3",9,"babelgene","Combined_NR",TRUE
"MELK","Melk",11,"babelgene","Combined_NR",TRUE
"MEST","Mest",12,"babelgene","Combined_NR",TRUE
"METAP2","Metap2",12,"babelgene","Combined_NR",TRUE
"METTL13","Eef1aknmt",12,"babelgene","Combined_NR",FALSE
"METTL9","Mettl9",12,"babelgene","Combined_NR",TRUE
"MFAP1","Mfap1a",10,"babelgene","Combined_NR",TRUE
"MFSD10","Mfsd10",12,"babelgene","Combined_NR",TRUE
"MGAT1","Mgat1",12,"babelgene","Combined_NR",TRUE
"MGAT4A","Mgat4a",12,"babelgene","Combined_NR",TRUE
"MGP","Mgp",12,"babelgene","Combined_NR",FALSE
"MGST1","Mgst1",11,"babelgene","Combined_NR",FALSE
"MGST3","Mgst3",12,"babelgene","Combined_NR",TRUE
"MICAL2","Mical2",9,"babelgene","Combined_NR",TRUE
"MIDN","Midn",12,"babelgene","Combined_NR",TRUE
"MIEN1","Mien1",12,"babelgene","Combined_NR",TRUE
"MIF","Mif",12,"babelgene","Combined_NR",TRUE
"MIS18A","Mis18a",11,"babelgene","Combined_NR",TRUE
"MIS18BP1","Mis18bp1",11,"babelgene","Combined_NR",TRUE
"MITD1","Mitd1",11,"babelgene","Combined_NR",TRUE
"MKRN1","Mkrn1",12,"babelgene","Combined_NR",TRUE
"MLF2","Mlf2",12,"babelgene","Combined_NR",TRUE
"MLH1","Mlh1",11,"babelgene","Combined_NR",TRUE
"MLLT3","Mllt3",12,"babelgene","Combined_NR",TRUE
"MMP12","Mmp12",11,"babelgene","Combined_NR",TRUE
"MMP2","Mmp2",12,"babelgene","Combined_NR",FALSE
"MOB1A","Mob1a",12,"babelgene","Combined_NR",TRUE
"MOB1B","Mob1b",12,"babelgene","Combined_NR",TRUE
"MORF4L1","Morf4l1",12,"babelgene","Combined_NR",TRUE
"MORF4L2","Morf4l2",11,"babelgene","Combined_NR",TRUE
"MPC1","Mpc1",12,"babelgene","Combined_NR",TRUE
"MPC2","Mpc2",12,"babelgene","Combined_NR",TRUE
"MPHOSPH8","Mphosph8",10,"babelgene","Combined_NR",TRUE
"MPZL1","Mpzl1",12,"babelgene","Combined_NR",TRUE
"MRFAP1L1","Mrfap1",5,"babelgene","Combined_NR",TRUE
"MRPL18","Mrpl18",11,"babelgene","Combined_NR",TRUE
"MRPL20","Mrpl20",12,"babelgene","Combined_NR",TRUE
"MRPL33","Mrpl33",10,"babelgene","Combined_NR",TRUE
"MRPL47","Mrpl47",12,"babelgene","Combined_NR",TRUE
"MRPL51","Mrpl51",12,"babelgene","Combined_NR",TRUE
"MRPL52","Mrpl52",11,"babelgene","Combined_NR",TRUE
"MRPS34","Mrps34",12,"babelgene","Combined_NR",TRUE
"MRPS6","Mrps6",11,"babelgene","Combined_NR",TRUE
"MS4A1","Ms4a1",12,"babelgene","Combined_NR",TRUE
"MSI2","Msi2",11,"babelgene","Combined_NR",TRUE
"MSMO1","Msmo1",12,"babelgene","Combined_NR",TRUE
"MSN","Msn",12,"babelgene","Combined_NR",TRUE
"MT-CYB","mt-Cytb",10,"babelgene","Combined_NR",TRUE
"MT1E","Mt1",3,"babelgene","Combined_NR",TRUE
"MT1F","Mt1",4,"babelgene","Combined_NR",TRUE
"MT1X","Mt1",3,"babelgene","Combined_NR",TRUE
"MT2A","Mt2",4,"babelgene","Combined_NR",TRUE
"MTHFD1","Mthfd1",10,"babelgene","Combined_NR",TRUE
"MTHFD2","Mthfd2",12,"babelgene","Combined_NR",TRUE
"MTPN","Mtpn",12,"babelgene","Combined_NR",TRUE
"MVK","Mvk",12,"babelgene","Combined_NR",TRUE
"MVP","Mvp",11,"babelgene","Combined_NR",TRUE
"MX1","Mx2",7,"babelgene","Combined_NR",TRUE
"MYADM","Myadm",12,"babelgene","Combined_NR",TRUE
"MYB","Myb",11,"babelgene","Combined_NR",TRUE
"MYC","Myc",11,"babelgene","Combined_NR",TRUE
"MYH6","Myh6",12,"babelgene","Combined_NR",TRUE
"MYH9","Myh9",12,"babelgene","Combined_NR",TRUE
"MYL12A","Myl12a",6,"babelgene","Combined_NR",TRUE
"MYL12B","Myl12b",11,"babelgene","Combined_NR",TRUE
"MYL6","Myl6",11,"babelgene","Combined_NR",TRUE
"MYLIP","Mylip",12,"babelgene","Combined_NR",TRUE
"MYO1E","Myo1e",11,"babelgene","Combined_NR",TRUE
"MYO1F","Myo1f",10,"babelgene","Combined_NR",TRUE
"MYO1G","Myo1g",12,"babelgene","Combined_NR",TRUE
"MYO9B","Myo9b",12,"babelgene","Combined_NR",TRUE
"MYOF","Myof",11,"babelgene","Combined_NR",TRUE
"MZT1","Mzt1",12,"babelgene","Combined_NR",TRUE
"MZT2A","Mzt2",9,"babelgene","Combined_NR",TRUE
"N4BP2L2","N4bp2l2",8,"babelgene","Combined_NR",TRUE
"NAA10","Naa10",12,"babelgene","Combined_NR",TRUE
"NAA38","Naa38",11,"babelgene","Combined_NR",TRUE
"NAA50","Naa50",12,"babelgene","Combined_NR",TRUE
"NAB2","Nab2",11,"babelgene","Combined_NR",TRUE
"NAMPT","Nampt",12,"babelgene","Combined_NR",TRUE
"NAP1L4","Nap1l4",12,"babelgene","Combined_NR",TRUE
"NAPA","Napa",12,"babelgene","Combined_NR",TRUE
"NARF","Narf",12,"babelgene","Combined_NR",TRUE
"NBAS","Nbas",11,"babelgene","Combined_NR",TRUE
"NCDN","Ncdn",12,"babelgene","Combined_NR",TRUE
"NCF1","Ncf1",10,"babelgene","Combined_NR",TRUE
"NCKAP1","Nckap1",12,"babelgene","Combined_NR",TRUE
"NCOR1","Ncor1",10,"babelgene","Combined_NR",TRUE
"NCOR2","Ncor2",11,"babelgene","Combined_NR",TRUE
"NCR1","Ncr1",12,"babelgene","Combined_NR",TRUE
"NCS1","Ncs1",12,"babelgene","Combined_NR",TRUE
"NDFIP2","Ndfip2",11,"babelgene","Combined_NR",TRUE
"NDUFA1","Ndufa1",12,"babelgene","Combined_NR",TRUE
"NDUFA12","Ndufa12",10,"babelgene","Combined_NR",TRUE
"NDUFA13","Ndufa13",11,"babelgene","Combined_NR",TRUE
"NDUFA3","Ndufa3",12,"babelgene","Combined_NR",TRUE
"NDUFA4","Ndufa4",11,"babelgene","Combined_NR",TRUE
"NDUFA5","Ndufa5",12,"babelgene","Combined_NR",TRUE
"NDUFA6","Ndufa6",12,"babelgene","Combined_NR",TRUE
"NDUFAB1","Ndufab1",12,"babelgene","Combined_NR",TRUE
"NDUFB1","Ndufb1",5,"babelgene","Combined_NR",TRUE
"NDUFB10","Ndufb10",12,"babelgene","Combined_NR",TRUE
"NDUFB2","Ndufb2",12,"babelgene","Combined_NR",TRUE
"NDUFB3","Ndufb3",11,"babelgene","Combined_NR",TRUE
"NDUFB4","Ndufb4",12,"babelgene","Combined_NR",TRUE
"NDUFB6","Ndufb6",12,"babelgene","Combined_NR",TRUE
"NDUFB7","Ndufb7",11,"babelgene","Combined_NR",TRUE
"NDUFB9","Ndufb9",12,"babelgene","Combined_NR",TRUE
"NDUFC1","Ndufc1",12,"babelgene","Combined_NR",TRUE
"NDUFS5","Ndufs5",11,"babelgene","Combined_NR",TRUE
"NDUFS6","Ndufs6",12,"babelgene","Combined_NR",TRUE
"NDUFS7","Ndufs7",12,"babelgene","Combined_NR",TRUE
"NDUFS8","Ndufs8",12,"babelgene","Combined_NR",TRUE
"NDUFV1","Ndufv1",12,"babelgene","Combined_NR",TRUE
"NDUFV2","Ndufv2",12,"babelgene","Combined_NR",TRUE
"NEBL","Nebl",8,"babelgene","Combined_NR",TRUE
"NEDD8","Nedd8",12,"babelgene","Combined_NR",TRUE
"NEK6","Nek6",11,"babelgene","Combined_NR",TRUE
"NET1","Net1",12,"babelgene","Combined_NR",TRUE
"NEU1","Neu1",12,"babelgene","Combined_NR",TRUE
"NEURL3","Neurl3",11,"babelgene","Combined_NR",TRUE
"NFATC1","Nfatc1",12,"babelgene","Combined_NR",TRUE
"NFATC2","Nfatc2",11,"babelgene","Combined_NR",TRUE
"NFATC3","Nfatc3",12,"babelgene","Combined_NR",TRUE
"NFE2L2","Nfe2l2",11,"babelgene","Combined_NR",TRUE
"NFKB1","Nfkb1",11,"babelgene","Combined_NR",TRUE
"NFKB2","Nfkb2",12,"babelgene","Combined_NR",TRUE
"NFKBIA","Nfkbia",12,"babelgene","Combined_NR",TRUE
"NFKBIZ","Nfkbiz",12,"babelgene","Combined_NR",TRUE
"NGDN","Ngdn",12,"babelgene","Combined_NR",TRUE
"NHP2","Nhp2",12,"babelgene","Combined_NR",TRUE
"NID1","Nid1",11,"babelgene","Combined_NR",TRUE
"NINJ1","Ninj1",12,"babelgene","Combined_NR",TRUE
"NINL","Ninl",12,"babelgene","Combined_NR",TRUE
"NIPBL","Nipbl",12,"babelgene","Combined_NR",TRUE
"NKD2","Nkd2",11,"babelgene","Combined_NR",TRUE
"NKG7","Nkg7",12,"babelgene","Combined_NR",TRUE
"NKTR","Nktr",11,"babelgene","Combined_NR",TRUE
"NLRC5","Nlrc5",11,"babelgene","Combined_NR",TRUE
"NMB","Nmb",11,"babelgene","Combined_NR",TRUE
"NME2","Nme2",8,"babelgene","Combined_NR",TRUE
"NME3","Nme3",11,"babelgene","Combined_NR",TRUE
"NMRK1","Nmrk1",11,"babelgene","Combined_NR",TRUE
