"human","mouse","support_n","method","set_name","in_object"
"GATM","Gatm",12,"babelgene","Fraietta2018_NR",TRUE
"GBE1","Gbe1",11,"babelgene","Fraietta2018_NR",TRUE
"GEM","Gem",12,"babelgene","Fraietta2018_NR",TRUE
"GGH","Ggh",11,"babelgene","Fraietta2018_NR",TRUE
"GINS1","Gins1",12,"babelgene","Fraietta2018_NR",TRUE
"GINS4","Gins4",12,"babelgene","Fraietta2018_NR",TRUE
"GJB2","Gjb2",12,"babelgene","Fraietta2018_NR",TRUE
"GK","Gk",11,"babelgene","Fraietta2018_NR",TRUE
"GM2A","Gm2a",12,"babelgene","Fraietta2018_NR",TRUE
"GNA12","Gna12",12,"babelgene","Fraietta2018_NR",TRUE
"GNA15","Gna15",12,"babelgene","Fraietta2018_NR",TRUE
"GNG4","Gng4",11,"babelgene","Fraietta2018_NR",TRUE
"GNPTAB","Gnptab",12,"babelgene","Fraietta2018_NR",TRUE
"GOT2","Got2",12,"babelgene","Fraietta2018_NR",TRUE
"GPC1","Gpc1",12,"babelgene","Fraietta2018_NR",TRUE
"GPR157","Gpr157",12,"babelgene","Fraietta2018_NR",TRUE
"GPRC5C","Gprc5c",11,"babelgene","Fraietta2018_NR",TRUE
"GSTCD","Gstcd",12,"babelgene","Fraietta2018_NR",TRUE
"HBS1L","Hbs1l",12,"babelgene","Fraietta2018_NR",TRUE
"HDAC3","Hdac3",12,"babelgene","Fraietta2018_NR",TRUE
"HDAC7","Hdac7",11,"babelgene","Fraietta2018_NR",TRUE
"HDAC9","Hdac9",8,"babelgene","Fraietta2018_NR",TRUE
"HEYL","Heyl",12,"babelgene","Fraietta2018_NR",FALSE
"HILPDA","Hilpda",10,"babelgene","Fraietta2018_NR",TRUE
"HIVEP1","Hivep1",12,"babelgene","Fraietta2018_NR",TRUE
"HMGA1","Hmga1",10,"babelgene","Fraietta2018_NR",TRUE
"HMGCR","Hmgcr",11,"babelgene","Fraietta2018_NR",TRUE
"HMGCS1","Hmgcs1",12,"babelgene","Fraietta2018_NR",TRUE
"HNF1B","Hnf1b",11,"babelgene","Fraietta2018_NR",TRUE
"HOXA4","Hoxa4",12,"babelgene","Fraietta2018_NR",TRUE
"HSD11B1","Hsd11b1",12,"babelgene","Fraietta2018_NR",TRUE
"HSD17B12","Hsd17b12",12,"babelgene","Fraietta2018_NR",TRUE
"HSD3B7","Hsd3b7",11,"babelgene","Fraietta2018_NR",TRUE
"HSP90AB1","Hsp90ab1",11,"babelgene","Fraietta2018_NR",TRUE
"HSPD1","Hspd1",11,"babelgene","Fraietta2018_NR",TRUE
"HSPH1","Hsph1",12,"babelgene","Fraietta2018_NR",TRUE
"HTATIP2","Htatip2",11,"babelgene","Fraietta2018_NR",TRUE
"ICAM1","Icam1",11,"babelgene","Fraietta2018_NR",TRUE
"ICAM5","Icam5",10,"babelgene","Fraietta2018_NR",TRUE
"IER3","Ier3",12,"babelgene","Fraietta2018_NR",TRUE
"IFI44","Ifi44",10,"babelgene","Fraietta2018_NR",TRUE
"IFIH1","Ifih1",10,"babelgene","Fraietta2018_NR",TRUE
"IFT122","Ift122",11,"babelgene","Fraietta2018_NR",TRUE
"IGSF3","Igsf3",12,"babelgene","Fraietta2018_NR",TRUE
"IKBIP","Ikbip",10,"babelgene","Fraietta2018_NR",TRUE
"IL1A","Il1a",12,"babelgene","Fraietta2018_NR",TRUE
"IL1RAP","Il1rap",12,"babelgene","Fraietta2018_NR",TRUE
"IL1RN","Il1rn",12,"babelgene","Fraietta2018_NR",TRUE
"INPP5F","Inpp5f",10,"babelgene","Fraietta2018_NR",TRUE
"INSIG1","Insig1",12,"babelgene","Fraietta2018_NR",TRUE
"IPO5","Ipo5",12,"babelgene","Fraietta2018_NR",TRUE
"IPPK","Ippk",12,"babelgene","Fraietta2018_NR",TRUE
"IQGAP3","Iqgap3",11,"babelgene","Fraietta2018_NR",TRUE
"IRAK2","Irak2",12,"babelgene","Fraietta2018_NR",TRUE
"IRAK3","Irak3",12,"babelgene","Fraietta2018_NR",TRUE
"IRF8","Irf8",12,"babelgene","Fraietta2018_NR",TRUE
"ITPKA","Itpka",12,"babelgene","Fraietta2018_NR",TRUE
"JAM2","Jam2",12,"babelgene","Fraietta2018_NR",TRUE
"JUN","Jun",12,"babelgene","Fraietta2018_NR",TRUE
"JUNB","Junb",11,"babelgene","Fraietta2018_NR",TRUE
"KCNH4","Kcnh4",11,"babelgene","Fraietta2018_NR",TRUE
"KCNK1","Kcnk1",11,"babelgene","Fraietta2018_NR",FALSE
"KCTD10","Kctd10",12,"babelgene","Fraietta2018_NR",TRUE
"KCTD19","Kctd19",12,"babelgene","Fraietta2018_NR",TRUE
"KCTD3","Kctd3",12,"babelgene","Fraietta2018_NR",TRUE
"KCTD5","Kctd5",11,"babelgene","Fraietta2018_NR",TRUE
"KDELR3","Kdelr3",11,"babelgene","Fraietta2018_NR",TRUE
"KIAA1549","D630045J12Rik",12,"babelgene","Fraietta2018_NR",TRUE
"KIF23","Kif23",11,"babelgene","Fraietta2018_NR",TRUE
"KIF3B","Kif3b",11,"babelgene","Fraietta2018_NR",TRUE
"KIF3C","Kif3c",11,"babelgene","Fraietta2018_NR",TRUE
"KLF4","Klf4",12,"babelgene","Fraietta2018_NR",TRUE
"KRT80","Krt80",12,"babelgene","Fraietta2018_NR",TRUE
"LACTB","Lactb",12,"babelgene","Fraietta2018_NR",TRUE
"LAMB3","Lamb3",10,"babelgene","Fraietta2018_NR",TRUE
"LAMP3","Lamp3",11,"babelgene","Fraietta2018_NR",TRUE
