"coarse_annot","condition","replicate","set","mean_score","n_cells"
"Effector 2","EV","rep1","Module3A MitoOrganization",0.172379093544348,153
"Effector 2","EV","rep1","Module3B Mitophagy Damage",0.109465748612635,153
"Effector 2","EV","rep1","Module3 MitoQualityControl",0.15300586465523,153
"Effector 2","EV","rep1","Module4 Activation Anabolic",0.318425574133482,153
"Effector 2","EV","rep2","GO: AUTOPHAGY",0.0944299374412905,33
"Effector 2","EV","rep2","GO: MITOCHONDRIAL BIOGENESIS",0.124133310837728,33
"Effector 2","EV","rep2","GO: MITOPHAGY",0.12133512640228,33
"Effector 2","EV","rep2","GO: RIBOSOME BIOGENESIS",0.265220920229208,33
"Effector 2","EV","rep2","H: APOPTOSIS",0.101712685595207,33
"Effector 2","EV","rep2","H: FATTY ACID METABOLISM",0.103951329392895,33
"Effector 2","EV","rep2","H: GLYCOLYSIS",0.110028635924924,33
"Effector 2","EV","rep2","H: HYPOXIA",0.0981510285800889,33
"Effector 2","EV","rep2","H: IL2 STAT5 SIGNALING",0.10525987192742,33
"Effector 2","EV","rep2","H: MTORC1 SIGNALING",0.242823533726837,33
"Effector 2","EV","rep2","H: MYC TARGETS V1",0.487125624212701,33
"Effector 2","EV","rep2","H: MYC TARGETS V2",0.219777772298137,33
"Effector 2","EV","rep2","H: OXIDATIVE PHOSPHORYLATION",0.314214132865283,33
"Effector 2","EV","rep2","H: REACTIVE OXYGEN SPECIES PATHWAY",0.151222424191293,33
"Effector 2","EV","rep2","H: TNFA SIGNALING VIA NFKB",0.0634405680716181,33
"Effector 2","EV","rep2","H: UNFOLDED PROTEIN RESPONSE",0.214969966656302,33
"Effector 2","EV","rep2","Module1 MetabolicStress Hypoxia",0.139096925525676,33
"Effector 2","EV","rep2","Module2 MetabolicResilience OxFitness",0.0326742973801797,33
"Effector 2","EV","rep2","Module3A MitoOrganization",0.166886550479124,33
"Effector 2","EV","rep2","Module3B Mitophagy Damage",0.122267790688843,33
"Effector 2","EV","rep2","Module3 MitoQualityControl",0.154900292155194,33
"Effector 2","EV","rep2","Module4 Activation Anabolic",0.335431850548714,33
"Effector 2","Scr","rep1","GO: AUTOPHAGY",0.0974638454343625,136
"Effector 2","Scr","rep1","GO: MITOCHONDRIAL BIOGENESIS",0.119843016465942,136
"Effector 2","Scr","rep1","GO: MITOPHAGY",0.121342078526455,136
"Effector 2","Scr","rep1","GO: RIBOSOME BIOGENESIS",0.263597772494953,136
"Effector 2","Scr","rep1","H: APOPTOSIS",0.103785153436863,136
"Effector 2","Scr","rep1","H: FATTY ACID METABOLISM",0.103158743777487,136
"Effector 2","Scr","rep1","H: GLYCOLYSIS",0.104077688788071,136
"Effector 2","Scr","rep1","H: HYPOXIA",0.10182403844665,136
"Effector 2","Scr","rep1","H: IL2 STAT5 SIGNALING",0.114641259704093,136
"Effector 2","Scr","rep1","H: MTORC1 SIGNALING",0.243267283059349,136
"Effector 2","Scr","rep1","H: MYC TARGETS V1",0.481321997175785,136
"Effector 2","Scr","rep1","H: MYC TARGETS V2",0.209411525374528,136
"Effector 2","Scr","rep1","H: OXIDATIVE PHOSPHORYLATION",0.299288042379078,136
"Effector 2","Scr","rep1","H: REACTIVE OXYGEN SPECIES PATHWAY",0.142800314886775,136
"Effector 2","Scr","rep1","H: TNFA SIGNALING VIA NFKB",0.0727187602097173,136
"Effector 2","Scr","rep1","H: UNFOLDED PROTEIN RESPONSE",0.211842897380123,136
"Effector 2","Scr","rep1","Module1 MetabolicStress Hypoxia",0.145492512159425,136
"Effector 2","Scr","rep1","Module2 MetabolicResilience OxFitness",0.0299551947475823,136
"Effector 2","Scr","rep1","Module3A MitoOrganization",0.178303218504585,136
