miRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,sig
mmu-miR-27b-3p,47.399952142044,0.784573668656442,0.661003173576163,1.18694387564244,0.235249759210655,0.451986901128698,Teff_vs_Tn,FALSE
mmu-miR-378a-3p,49.7061539265641,-0.97373297151383,0.826869256281888,-1.17761419246899,0.238950449212646,0.451986901128698,Teff_vs_Tn,FALSE
mmu-miR-106b-5p,28.7896540111918,1.31349168070131,1.25518610694931,1.04645173606463,0.295352517084637,0.543237665352101,Teff_vs_Tn,FALSE
mmu-miR-103-3p,60.3933316626796,0.694339355370022,0.696812403416802,0.996450912706701,0.319031106172228,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-130b-3p,7.84790359060212,1.99278105121592,2.04471978536229,0.974598605384372,0.32975940568281,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-150-3p,26.7296101602463,-1.26272979572454,1.34119839522471,-0.94149366732054,0.34645193299427,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-185-5p,9.51549757839,1.57953387395922,1.70049851213964,0.928865190226944,0.352958954870067,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-24-3p,3985.21761766741,0.986116008464423,1.02196123394057,0.964925063411719,0.334582346810523,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-30c-5p,48.5859926755706,0.739996480596156,0.795131461279002,0.93065928922727,0.352029834831447,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-466f-3p,289.007689969771,0.606501814798532,0.650513259713222,0.932343508364315,0.351159029441526,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-466h-3p,14.579147105446,-1.22327449714904,1.27349072969815,-0.960568042328024,0.336769403610834,0.568043317994014,Teff_vs_Tn,FALSE
mmu-miR-17-5p,92.2270384988497,0.650762211159328,0.822263437106295,0.791427882832157,0.428694344394035,0.679315653424394,Teff_vs_Tn,FALSE
mmu-miR-142a-5p,252.38102502243,-0.443062836233973,0.580116042622432,-0.763748635929967,0.445017051280784,0.69449630730183,Teff_vs_Tn,FALSE
mmu-miR-29c-3p,31.3182946039825,0.944669929752506,1.27790412184698,0.739233807609255,0.45976503522792,0.706802964604115,Teff_vs_Tn,FALSE
mmu-let-7a-5p,353.672162670212,-0.333086582472687,0.459579972596336,-0.724763049597132,0.468597407790885,0.709787250036194,Teff_vs_Tn,FALSE
mmu-miR-3963,4.10209890512955,2.01042662452327,2.89323658710983,0.694871146549259,0.487136056298005,0.727174113024559,Teff_vs_Tn,FALSE
mmu-miR-17-3p,4.29311385975477,-1.71157249177426,2.62678220645052,-0.651585231379745,0.514668777570938,0.757298344140095,Teff_vs_Tn,FALSE
mmu-let-7d-5p,241.493052171444,0.323704891026411,0.530994519441829,0.60962002275783,0.542113544814917,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-1198-5p,8.41582488779326,0.771108510056675,1.4076423855328,0.547801428815888,0.583828257414289,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-15b-3p,6.42395214045823,0.790702777412176,1.45733277669238,0.542568444255257,0.587426970534598,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-1839-5p,6.61825986431579,0.927896621224785,1.57507762279912,0.589111677922128,0.555786360095699,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-19b-3p,24.3220905609905,-0.672665867365131,1.19390778148234,-0.563415263555747,0.573152145956494,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-3470b,7.71010139495621,-0.857760323435,1.56202081953701,-0.549135013251134,0.582912798430677,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-423-3p,27.0042185329758,0.719173661516891,1.23272354951715,0.583402224934041,0.559622560388121,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-5121,117.13752767961,-0.58380108491288,0.995122061326294,-0.586662790024767,0.557430203083656,0.775704845705943,Teff_vs_Tn,FALSE
mmu-miR-652-3p,18.4844522271473,0.692842755590649,1.35602388915793,0.510936983581385,0.609395183230877,0.784596298409754,Teff_vs_Tn,FALSE
mmu-miR-669p-5p,12.742132564885,-0.78929203440697,1.51769105465716,-0.52006107039042,0.603021010622189,0.784596298409754,Teff_vs_Tn,FALSE
mmu-miR-219a-5p,26.3226838906666,-0.691796186183562,1.43801102147838,-0.481078500686557,0.630460707495054,0.80169694903692,Teff_vs_Tn,FALSE
mmu-miR-29b-3p,74.1760443246739,0.287065599227999,0.747022566941565,0.384279688367774,0.700771160780428,0.877124457497012,Teff_vs_Tn,FALSE
mmu-miR-93-5p,22.0000236323523,0.542897940680965,1.44332052720931,0.376145097673259,0.706809028856816,0.877124457497012,Teff_vs_Tn,FALSE
mmu-miR-669l-5p,9.90765013316299,-0.580811818803868,1.70496851707447,-0.340658383417234,0.733360771806779,0.899239994001169,Teff_vs_Tn,FALSE
mmu-miR-20b-5p,16.3594694109273,-0.399603073013274,1.26476362744645,-0.315950794552867,0.752039856633516,0.911295355685319,Teff_vs_Tn,FALSE
mmu-miR-23a-3p,69.9800745231721,-0.300400514008942,1.03548624331002,-0.290105750752116,0.771735336435844,0.924287670382464,Teff_vs_Tn,FALSE
mmu-miR-484,50.6789709505114,0.164827641644748,0.660345373167141,0.249608232816418,0.802890331221691,0.950548323170508,Teff_vs_Tn,FALSE
mmu-miR-361-5p,10.1838859521415,-0.276525087582979,1.34695024539604,-0.205297180447576,0.837339946821987,0.980068346848461,Teff_vs_Tn,FALSE
mmu-miR-342-3p,64.2183419386469,0.118389568616621,0.667622784796296,0.177330030239672,0.859249163853175,0.994411953672776,Teff_vs_Tn,FALSE
mmu-miR-3473b,222.35869476766,-0.16110340384217,1.04102386728084,-0.154754764905605,0.877014653857413,0.995766188324766,Teff_vs_Tn,FALSE
mmu-miR-3535,56.4135493782611,0.18613092122771,1.23037102353806,0.151280319242622,0.879754593568483,0.995766188324766,Teff_vs_Tn,FALSE
mmu-let-7g-5p,181.497581917657,0.0382402899311314,0.466739807890072,0.0819306373373189,0.934701871259565,1,Teff_vs_Tn,FALSE
mmu-miR-106a-5p,9.15849860926849,0.0617112283523753,1.76233256604186,0.0350167894195911,0.97206635306229,1,Teff_vs_Tn,FALSE
mmu-miR-15b-5p,257.313094280775,-0.0266701878735257,0.58183031973454,-0.0458384291243089,0.963439028976347,1,Teff_vs_Tn,FALSE
mmu-miR-18a-3p,11.2515890599697,0,2.65432706356905,0,1,1,Teff_vs_Tn,FALSE
mmu-miR-20a-5p,94.4444451862067,-0.0314435597758458,1.01526572541654,-0.0309707685275647,0.975292851820864,1,Teff_vs_Tn,FALSE
mmu-miR-29a-3p,323.74793201586,0.0858871504579392,0.725545799104961,0.118375918603471,0.9057698057744,1,Teff_vs_Tn,FALSE
mmu-miR-365-3p,6.7080091817741,0,2.73649846632183,0,1,1,Teff_vs_Tn,FALSE
mmu-miR-5114,5.03991478752544,0,3.45820126439879,0,1,1,Teff_vs_Tn,FALSE
mmu-miR-677-3p,5.40452990098111,0,3.51315709875909,0,1,1,Teff_vs_Tn,FALSE
mmu-miR-677-5p,3.85899838681171,0,3.1052405373374,0,1,1,Teff_vs_Tn,FALSE
mmu-miR-7a-5p,17.2577311782866,0.0395625209931943,0.929756559991907,0.0425514835770974,0.966059070927207,1,Teff_vs_Tn,FALSE
mmu-miR-8104,4.85640284104406,0.00292151959549547,2.44068876908794,0.00119700620271515,0.999044927459743,1,Teff_vs_Tn,FALSE
mmu-miR-107-3p,1.09244483117467,-2.85871355042431,4.83248285792387,-0.591562067465352,0.554143881102311,,Teff_vs_Tn,FALSE
mmu-miR-130b-5p,1.12670762554738,4.7953771875798,4.83261946877437,0.992293562231579,0.321054342824686,,Teff_vs_Tn,FALSE
mmu-miR-193a-3p,1.15465554800766,-0.702629357860545,4.9106597955809,-0.143082475086717,0.886225045380232,,Teff_vs_Tn,FALSE
mmu-miR-19a-3p,2.37573548409925,1.69304298148241,3.29221037627012,0.514257227814381,0.607072161620096,,Teff_vs_Tn,FALSE
mmu-miR-20a-3p,2.88062293163199,5.60828192919005,3.86575574089843,1.45075951640096,0.146846836220142,,Teff_vs_Tn,FALSE
mmu-miR-222-3p,0.848169290717151,0,4.99150353268358,0,1,,Teff_vs_Tn,FALSE
mmu-miR-326-3p,2.12317497146395,-0.71832493946246,4.06165955813629,-0.176855034052156,0.859622259395878,,Teff_vs_Tn,FALSE
mmu-miR-342-5p,2.26021478833268,2.00488569504662,3.08063717414079,0.650802279436167,0.515174128601827,,Teff_vs_Tn,FALSE
mmu-miR-345-5p,0.840747909532342,-3.69607248007201,4.81180850222761,-0.768125431084991,0.442412669557867,,Teff_vs_Tn,FALSE
mmu-miR-362-3p,2.24475680264647,6.12081061241199,4.15551983757772,1.47293500010816,0.140768563393688,,Teff_vs_Tn,FALSE
mmu-miR-378c,2.28903630066812,-1.08814339308027,2.73275482805008,-0.398185516648305,0.690493441229638,,Teff_vs_Tn,FALSE
mmu-miR-3960,3.2525746342195,-0.52523488962471,2.43240287682142,-0.215932522786303,0.829040345554577,,Teff_vs_Tn,FALSE
mmu-miR-574-5p,1.9611242667781,-1.52929856080077,4.15015034266806,-0.36849232787495,0.712506164791281,,Teff_vs_Tn,FALSE
mmu-miR-669o-5p,1.63429175777582,-4.66468570916537,4.79867274969911,-0.972078312582965,0.331011590452445,,Teff_vs_Tn,FALSE
mmu-miR-692,0.526372048828939,-0.963346486907352,4.9061009434276,-0.196356841821179,0.844330873876091,,Teff_vs_Tn,FALSE
mmu-miR-7238-3p,2.70309231330453,-1.7130312175444,2.86645871401289,-0.597612381148253,0.550098600991441,,Teff_vs_Tn,FALSE
mmu-miR-98-5p,3.01423431867437,-1.25141495075648,3.22828004316661,-0.387641386132343,0.698281437400513,,Teff_vs_Tn,FALSE
mmu-miR-155-5p,1531.02110083205,2.75544640685395,0.664258522363077,4.1481536391156,3.35167447682857e-05,0.00402200937219429,Tex_vs_Teff,TRUE
mmu-miR-150-5p,159.345519410643,-3.41759620318902,0.930903626527173,-3.6712674715198,0.000241350599147517,0.014481035948851,Tex_vs_Teff,TRUE
mmu-miR-18a-3p,11.2515890599697,7.23919295368512,2.2497472990794,3.2177804843448,0.00129186647110372,0.0516746588441489,Tex_vs_Teff,FALSE
mmu-miR-21a-5p,666.785939618059,-2.66013311055251,0.956324089565788,-2.78162302882105,0.00540878256416209,0.12981078153989,Tex_vs_Teff,FALSE
mmu-miR-365-3p,6.7080091817741,6.61004466505486,2.35251069781943,2.80978304208427,0.00495749065251607,0.12981078153989,Tex_vs_Teff,FALSE
mmu-let-7g-5p,181.497581917657,-0.969545316094053,0.480674049981715,-2.01705358575304,0.0436899215580065,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-15b-5p,257.313094280775,-1.18336527627743,0.591551020007749,-2.00044499333621,0.0454522340334556,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-16-5p,337.436266270721,-1.00642436389186,0.509731551800421,-1.97442037938808,0.0483339626486235,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-17-3p,4.29311385975477,5.51654877736629,2.49914905003161,2.20737085581051,0.0272881607594501,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-210-3p,130.001092989358,1.38285517666981,0.717579874424788,1.92710975593944,0.053965953181919,0.439988639405314,Tex_vs_Teff,FALSE
mmu-miR-26a-5p,310.124859965649,-1.48046718713729,0.6646469012905,-2.22744916776527,0.0259172694980068,0.439988639405314,Tex_vs_Teff,FALSE
