miRNA,state,mean_logN,mean_norm,rel_pct
mmu-miR-182-5p,Tex,5.5610740925749,51.2149346327289,0.277884471087971
mmu-miR-1839-5p,Tn,2.57750739382824,5.33663701859433,0.0270314573219247
mmu-miR-1839-5p,Teff,3.4108808216988,9.72634741389518,0.0503125916005213
mmu-miR-1839-5p,Tmem,2.81477311501554,6.06325352930238,0.0364169583071379
mmu-miR-1839-5p,Tex,1.77382380563277,5.34680149547128,0.0290109343346094
mmu-miR-185-5p,Tn,1.54818573456202,3.77632490310874,0.0191280698118369
mmu-miR-185-5p,Teff,3.53372852008917,12.5052739288916,0.0646874631619803
mmu-miR-185-5p,Tmem,3.37141163875372,12.5362296650223,0.07529478205612
mmu-miR-185-5p,Tex,3.24394761526976,9.24416181653741,0.0501574205934556
mmu-miR-18a-3p,Tn,0,0,0
mmu-miR-18a-3p,Teff,0,0,0
mmu-miR-18a-3p,Tmem,2.60554631330939,6.11485105335717,0.0367268620367402
mmu-miR-18a-3p,Tex,4.98740980684037,38.8915051865215,0.211019411155612
mmu-miR-18a-5p,Tn,0.663995971281913,0.755264980621748,0.00382561396236737
mmu-miR-18a-5p,Teff,4.31873174386609,22.9263328539574,0.118593668588363
mmu-miR-18a-5p,Tmem,5.30184166553341,42.6547508927129,0.256191874107564
mmu-miR-18a-5p,Tex,4.62726765287871,23.8351251285461,0.129325775521521
mmu-miR-191-5p,Tn,5.40281288888072,41.9951513378963,0.21271638621154
mmu-miR-191-5p,Teff,6.79140866340276,109.768868773314,0.56781400355421
mmu-miR-191-5p,Tmem,6.52579100428194,91.9860749716763,0.552484411362925
mmu-miR-191-5p,Tex,6.24435259152137,74.9147708006302,0.406476189218959
mmu-miR-193a-3p,Tn,0.323748777992457,0.283224367733155,0.00143460523588777
mmu-miR-193a-3p,Teff,0,0,0
mmu-miR-193a-3p,Tmem,2.40859474246714,4.33539782429749,0.02603915555391
mmu-miR-193a-3p,Tex,0,0,0
mmu-miR-19a-3p,Tn,0.663995971281913,0.755264980621748,0.00382561396236737
mmu-miR-19a-3p,Teff,1.35662240647444,2.77897479718462,0.0143751213162658
mmu-miR-19a-3p,Tmem,2.78238783553067,5.96870215859064,0.035849066282097
mmu-miR-19a-3p,Tex,0,0,0
mmu-miR-19b-3p,Tn,3.74290504718627,18.0995839539206,0.0916791098008513
mmu-miR-19b-3p,Teff,3.36197365886086,11.8105302295954,0.0610936828329138
mmu-miR-19b-3p,Tmem,5.41190135243071,41.5831686913131,0.249755764490433
mmu-miR-19b-3p,Tex,4.70995497369472,25.7950793691329,0.139960190100155
mmu-miR-20a-3p,Tn,0,0,0
mmu-miR-20a-3p,Teff,1.71154781995868,4.86320589507309,0.0251564623034652
mmu-miR-20a-3p,Tmem,2.67483749353848,6.65928583145488,0.0399968322794692
mmu-miR-20a-3p,Tex,0,0,0
mmu-miR-20a-5p,Tn,5.27162275328716,69.8939424744195,0.354031034240358
mmu-miR-20a-5p,Teff,6.12885250993372,69.4739192958586,0.359375701861782
mmu-miR-20a-5p,Tmem,7.43247851862538,172.341537724812,1.03511333701967
mmu-miR-20a-5p,Tex,5.97483289372346,66.0683812497372,0.358477020636264
mmu-miR-20b-5p,Tn,3.59052295937526,14.9841159088559,0.0758984522060859
mmu-miR-20b-5p,Teff,3.65991203217974,11.8105624177209,0.0610938493361183
