"method","level","group","contrast","n_tested_universe","n_in_target_top","n_in_target_full","n_sig_down","n_sig_up","spearman_rho","spearman_p","spearman_n","hyper_top_overlap","hyper_top_expected","hyper_top_odds","hyper_top_p","hyper_full_overlap","hyper_full_p","hyper_top_overlap_UP","hyper_top_p_UP","hyper_top_p_BH","hyper_full_p_BH","spearman_p_BH"
"DGE_pseudobulk","by_cluster","12_Intermediate_activated_CD4","miR29a_vs_EV",1448,17,137,10,132,0.0470024703253472,0.585471163360621,137,0,0.117403314917127,0,1,1,0.631086659046598,1,0.804943591569437,1,1,0.683049690587391
"DGE_pseudobulk","by_cluster","12_Intermediate_activated_CD4","miR29a_vs_Scr",1544,14,138,1,14,0.00191192818556282,0.982243911178008,138,0,0.00906735751295337,0,1,0,1,0,1,1,1,0.982243911178008
"DGE_pseudobulk","by_cluster","13_NK-like_innate-like_review_","EV_vs_Scr",8616,83,529,1,0,-0.0455478295651845,0.295715862305257,529,0,0.00963324048282266,0,1,0,1,0,NA,1,1,0.4006472973168
"DGE_pseudobulk","by_cluster","13_NK-like_innate-like_review_","miR29a_vs_EV",8610,79,528,17,1,0.196080043573409,5.65127438685185e-06,528,0,0.155981416957027,0,1,0,1,0,1,1,1,1.42477920151068e-05
"DGE_pseudobulk","by_cluster","13_NK-like_innate-like_review_","miR29a_vs_Scr",8709,82,539,12,1,0.196785753174737,4.16188883887383e-06,539,0,0.112986565621771,0,1,0,1,0,1,1,1,1.34461024025155e-05
"DGE_MAST","by_lineage","CD4","EV_vs_Scr",3166,26,133,557,517,-0.173685990838405,0.0455694085221557,133,4,4.57422615287429,0.873556822923912,0.696218743432029,20,0.816837976607519,7,0.117960250791016,0.795722228466223,0.998357526964745,0.0607592113628743
"DGE_MAST","by_lineage","CD4","miR29a_vs_EV",7827,82,433,2418,2788,0.272628270963196,8.10719951835064e-09,433,53,25.3323112303565,2.11666580725004,2.66762037308988e-10,189,5.98638838711527e-09,13,0.999981548705794,9.78127470132956e-10,1.6462568064567e-08,4.86431971101038e-08
"DGE_MAST","by_lineage","CD4","miR29a_vs_Scr",7132,79,407,2222,2507,0.268226593073029,3.89272253187683e-08,407,51,24.6127313516545,2.09728352447976,8.46656111222072e-10,182,2.27026282175019e-09,13,0.999938787722881,2.3283043058607e-09,8.32429701308402e-09,1.16781675956305e-07
"DGE_MAST","by_lineage","CD8","EV_vs_Scr",4390,33,192,331,391,-0.116537535397715,0.107455389707006,192,2,2.48815489749431,0.80261582389242,0.723383844060202,9,0.960304203449126,5,0.165457494178094,0.795722228466223,1,0.120208120965574
"DGE_MAST","by_lineage","CD8","miR29a_vs_EV",8539,84,446,1758,2214,0.282046182274972,1.3338438791861e-09,446,48,17.2938283171332,2.82539682539683,1.77801193019475e-13,160,1.14444264885163e-14,6,0.999997980902891,9.77906561607113e-13,6.29443456868397e-14,1.60061265502332e-08
"DGE_MAST","by_lineage","CD8","miR29a_vs_Scr",7764,81,392,1527,2136,0.276345714142812,2.65810087139277e-08,392,46,15.9308346213292,2.9461074849326,1.31613923971697e-13,150,1.40799094101283e-18,7,0.999994659003983,9.77906561607113e-13,1.54879003511411e-17,1.06324034855711e-07
"DGE_MAST","by_lineage","Innate-like","EV_vs_Scr",9819,80,506,0,0,-0.0710962092030938,0.110190777551776,506,0,NA,NA,NA,0,NA,0,NA,NA,NA,0.120208120965574
"DGE_MAST","by_lineage","Innate-like","miR29a_vs_EV",10631,102,549,18,5,0.188720329292587,8.51357954699852e-06,549,3,0.172702473897093,20.6450980392157,0.000630185473337878,5,0.00176221560946349,0,1,0.000866505025839582,0.00242304646301231,2.04325909127964e-05
"DGE_MAST","by_lineage","Innate-like","miR29a_vs_Scr",10378,97,548,20,7,0.13643402309678,0.00136700685949845,548,4,0.186933898631721,26.4974226804124,3.09780894652579e-05,6,0.000432698563172174,0,1,5.67931640196395e-05,0.000679954884984845,0.00234344033056877
"DGE_MAST","by_lineage","Non-T","EV_vs_Scr",6139,61,346,2,7,-0.0030844707043554,0.954412177738428,346,0,0.0198729434761362,0,1,0,1,0,1,1,1,0.954412177738428
"DGE_MAST","by_lineage","Non-T","miR29a_vs_EV",7599,77,452,26,12,0.166103767914934,0.000390679079939819,452,5,0.263455717857613,23.2591218305504,5.21848587394739e-06,8,8.87521680565908e-05,0,1,1.14806689226843e-05,0.00016271230810375,0.000781358159879639
