"","baseMean","avg_log2FC","lfcSE","p_val","p_val_adj"
"Rpl13a",244.880954375681,1.02028797463368,0.406402541858776,0.00107227189265659,0.0109306083751422
"Itgav",56.5287823368823,-1.12964507953642,0.475757123002441,0.00110010132475004,0.0111010224588413
"Snrpg",59.1267638865294,1.22075784589478,0.562009938829796,0.00118669574896059,0.011737713398135
"Eif5a",75.2150697073315,1.13204938638809,0.485681665627359,0.00117947378424027,0.011737713398135
"Rps12",461.126393499726,0.929756740520395,0.374246536648405,0.00130251130551023,0.0127569489627913
"Rpl19",297.755938558004,0.966229096271409,0.394361752144014,0.00131789031448788,0.0127822565453728
"Rpl18",157.337861401013,0.992835020398075,0.414121987525613,0.00139342552643667,0.0133849240472138
"Rplp2",353.711129717964,0.922636596486576,0.381599308355815,0.00149544979588489,0.0142281366294191
"Hnrnpu",168.65846151755,0.963360382710062,0.414180828082164,0.00167174674072947,0.0153217889356766
"Txn1",56.5644892077211,1.12523182495932,0.527422567972341,0.00165465145512545,0.0153217889356766
"Rpl11",222.488804525222,0.928503368381865,0.393855617357672,0.00166298487912653,0.0153217889356766
"Aopep",43.7500647951382,-1.11560159523527,0.519595316324028,0.00166119901507906,0.0153217889356766
"Actr3",145.989345074867,0.978505481178061,0.426939039500089,0.0017349650743504,0.015756637357055
"Anp32b",141.067978350182,0.981015584179465,0.432598405708507,0.00180489856688546,0.0162440871019691
"Mki67",213.661701374937,0.919576469592284,0.404425891962292,0.00196970418064517,0.0175690578255761
"Rack1",149.314905573257,0.994154621072352,0.453291445886764,0.00201276291478058,0.0177942491315557
"Rps29",329.404234290475,0.911162272784603,0.404246047795846,0.00206821880698281,0.0181241279664546
"Pa2g4",53.8546656548881,1.05210497037211,0.530989989867453,0.00251707184469527,0.0218656936769615
"Arpc2",102.557369981796,0.950733724552032,0.456667300725013,0.00264677009506297,0.022669219848085
"Nucks1",77.1778709597408,0.987632346005026,0.484357930799911,0.00265495367590184,0.022669219848085
"Hnrnpk",88.1486983171276,0.967705099541008,0.470913464252226,0.00268763707534116,0.0227538087988628
"Rpl17",233.824963911149,0.872435448193447,0.409036470201945,0.002726573621017,0.0228894709865209
"Ddx5",142.142478810942,0.911324123937844,0.445531814177742,0.00301599788675742,0.0251081824072555
"Calr",61.2539188360669,0.998027722225492,0.518059458807369,0.00311596668856332,0.0257260390237583
"Vav3",72.1577714006195,-0.933268706416264,0.474670607757162,0.00333386704611446,0.0262942512841398
"Rpl6",244.61531150615,0.829335964498829,0.403407645948562,0.0033161346197495,0.0262942512841398
"Rpl13",418.663724671958,0.800214398984964,0.386862923664145,0.00334271262571147,0.0262942512841398
"Pkm",106.052668525651,0.921189718428773,0.462969969157825,0.00327092703582946,0.0262942512841398
"Rps26",272.72439730799,0.836279517622734,0.406334942378498,0.0032751947053303,0.0262942512841398
"Ms4a6b",71.4980839016905,0.966918859763178,0.501924059830086,0.00333484295106637,0.0262942512841398
"Ccnd2",62.3810275949583,0.975844573622851,0.515859443768326,0.00345852391173792,0.0269926983423921
"H2-D1",124.104159288068,0.891673282771449,0.450899549742956,0.00350860462569914,0.0271712869850654
"Zfand3",60.3951318441856,-0.934187154842605,0.494416305339746,0.00378510553157465,0.0290870802003314
"Fus",88.5283473367547,0.8902482029693,0.474527226568106,0.0041967619278825,0.0320043142439284
"Hmgn2",49.2400342772485,0.961721394710272,0.549094005416071,0.00442160650313104,0.0334635219441508
"Rps9",173.260981049178,0.828956765380093,0.4406256723206,0.00456713092539869,0.0343049909358894
"Hspa4",63.450967854317,0.900861307121772,0.518596035303547,0.0051835499837383,0.038644525625034
"Sumo2",57.4807742001266,0.897236715771049,0.529170407101132,0.00557746826936709,0.0412732651933165
"Pdia3",104.591247481277,0.874557191654702,0.513878963429562,0.00578461606028308,0.0420103760382025
"Cdc37",44.0243041995958,0.924020651097726,0.567765793617165,0.00579072054353869,0.0420103760382025
"Rpl41",361.370313368367,0.737888851215847,0.408192726921204,0.00580323512840034,0.0420103760382025
"Coro1a",74.6013369117339,0.85142253712876,0.500656346008276,0.00605517474590851,0.0429509348828314
"Hnrnpa1",88.884835367932,0.846396222771154,0.496349595689586,0.00606214396244167,0.0429509348828314
"Fbxl17",80.7442960804304,-0.813946955508683,0.467670296130426,0.00600886857297397,0.0429509348828314
"Rpl38",145.297800831034,0.757900058613462,0.445372256182999,0.00694773675795278,0.0488787959239072
"Eef1g",83.3336419123573,0.793744314151244,0.487854628321049,0.0075789644571485,0.0529467516971423
"Cct6a",53.3148091455448,0.843329888096514,0.546364132341788,0.00792905777039075,0.0550078382820858
"Tmsb10",520.748025526137,0.672495941676377,0.404837885254253,0.00813765219868585,0.0554393146459969
"Hnrnpul1",50.2498532272225,0.840023282305762,0.548714144842121,0.00814245839081822,0.0554393146459969
"Ywhae",77.0982918676911,0.799205969871804,0.506048245061891,0.00816113690312537,0.0554393146459969
"Etf1",52.1304432105232,0.833912946033915,0.543612376384904,0.00821323179940694,0.0554393146459969
"Rpl12",290.367664799986,0.712042772394494,0.437345074474022,0.00840318248398378,0.0563408006812067
"Hspa9",51.0925740469114,0.829885377735134,0.549897047520277,0.00860772489487448,0.057327447799864
